Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
6,590.0,2,1997,164.0,0.0,5,2.0,101101444563
4,500.0,3,2006,170.0,0.0,3,2.0,101101652066
6,240.0,2,2001,61.0,0.0,1,1.0,101102248184
24,460.0,2,2003,109.0,1.0,2,1.0,101101685159
6,188.0,0,2009,44.0,0.0,1,0.0,101102616390
6,293.0,0,2002,83.0,0.0,2,1.0,101101930891
6,229.0,2,1980,69.0,0.0,2,1.0,101102282859
6,215.0,3,2010,65.0,0.0,1,1.0,101102273579
6,300.0,3,2010,85.0,0.0,2,1.0,101102690228
7,305.0,2,1996,91.0,0.0,2,1.0,101101949557
6,290.0,1,2010,84.0,0.0,2,1.0,101102491810
6,340.0,2,1999,93.0,0.0,2,1.0,101101698678
6,328.0,3,1997,86.0,0.0,2,1.0,101102417411
26,408.0,3,2012,88.0,1.0,2,1.0,101102616051
6,320.0,3,1998,80.0,0.0,2,1.0,101102535766
24,1090.0,3,2017,165.0,1.0,4,2.0,101102620110
10,400.0,3,2007,95.0,1.0,2,1.0,101102475322
26,440.0,3,2012,91.0,1.0,2,1.0,101101755757
21,560.0,3,2015,121.0,1.0,3,1.0,101102493936
6,245.0,3,2010,71.0,0.0,2,1.0,101102562186
6,246.0,0,1988,60.0,0.0,2,1.0,101102666788
6,310.0,3,2010,89.0,0.0,2,1.0,101102405490
7,416.0,0,2004,99.0,0.0,2,1.0,101102055098
24,450.0,3,2003,120.0,1.0,2,2.0,101102398620
6,405.0,3,2008,98.0,0.0,2,1.0,101102389353
13,520.0,3,2005,132.0,1.0,3,1.0,101101933263
6,300.0,0,2000,87.0,0.0,2,2.0,101102122830
27,446.5,2,2013,89.0,1.0,3,1.0,101101829282
20,740.0,3,2011,148.0,1.0,3,2.0,101102356339
6,348.0,0,1996,92.0,0.0,2,1.0,101102572155
7,350.0,3,2004,99.0,0.0,2,1.0,101102370773
19,430.0,2,2015,97.0,1.0,2,1.0,101102649997
6,170.0,2,1986,55.0,0.0,2,1.0,101102702747
6,650.0,3,2006,204.0,0.0,4,2.0,101101209958
6,245.0,2,1987,64.0,0.0,2,1.0,101102206653
12,480.0,3,2004,123.0,1.0,3,1.0,101101645810
6,310.0,0,2010,90.0,0.0,2,1.0,101102207935
20,500.0,0,2011,100.0,1.0,2,2.0,101102587056
6,206.0,2,1986,62.0,0.0,2,1.0,101102262177
6,420.0,2,1997,120.0,0.0,3,1.0,101101701841
